"Statistic","Year","Broad age band (4 cat)","Females","Males","All persons"
"Mid-year population estimate",2001,"Age 65+",132264,91826,224090
"Mid-year population estimate",2001,"All",864565,824273,1688838
"Mid-year population estimate",2002,"Age 0-15",190783,200873,391656
"Mid-year population estimate",2002,"Age 16-39",294840,292720,587560
"Mid-year population estimate",2002,"Age 40-64",249568,241921,491489
"Mid-year population estimate",2002,"Age 65+",133357,93472,226829
"Mid-year population estimate",2002,"All",868548,828986,1697534
"Mid-year population estimate",2003,"Age 0-15",188039,197868,385907
"Mid-year population estimate",2003,"Age 16-39",295063,293357,588420
"Mid-year population estimate",2003,"Age 40-64",254384,246854,501238
"Mid-year population estimate",2003,"Age 65+",134334,95025,229359
"Mid-year population estimate",2003,"All",871820,833104,1704924
"Mid-year population estimate",2004,"Age 0-15",185676,195571,381247
"Mid-year population estimate",2004,"Age 16-39",295237,293494,588731
"Mid-year population estimate",2004,"Age 40-64",259489,252405,511894
"Mid-year population estimate",2004,"Age 65+",135389,96781,232170
"Mid-year population estimate",2004,"All",875791,838251,1714042
"Mid-year population estimate",2005,"Age 0-15",184562,194208,378770
"Mid-year population estimate",2005,"Age 16-39",296042,294345,590387
"Mid-year population estimate",2005,"Age 40-64",265341,258330,523671
"Mid-year population estimate",2005,"Age 65+",136487,98418,234905
"Mid-year population estimate",2005,"All",882432,845301,1727733
"Mid-year population estimate",2006,"Age 0-15",183801,193348,377149
"Mid-year population estimate",2006,"Age 16-39",297555,295347,592902
"Mid-year population estimate",2006,"Age 40-64",270922,264090,535012
"Mid-year population estimate",2006,"Age 65+",137725,100325,238050
"Mid-year population estimate",2006,"All",890003,853110,1743113
"Mid-year population estimate",2007,"Age 0-15",183664,193409,377073
"Mid-year population estimate",2007,"Age 16-39",300361,297054,597415
"Mid-year population estimate",2007,"Age 40-64",276005,269262,545267
"Mid-year population estimate",2007,"Age 65+",139397,102531,241928
"Mid-year population estimate",2007,"All",899427,862256,1761683
"Mid-year population estimate",2008,"Age 0-15",184419,194066,378485
"Mid-year population estimate",2008,"Age 16-39",301613,297718,599331
"Mid-year population estimate",2008,"Age 40-64",280215,273621,553836
"Mid-year population estimate",2008,"Age 65+",141907,105593,247500
"Mid-year population estimate",2008,"All",908154,870998,1779152
"Mid-year population estimate",2009,"Age 0-15",184791,194729,379520
"Mid-year population estimate",2009,"Age 16-39",301461,297714,599175
"Mid-year population estimate",2009,"Age 40-64",284018,277253,561271
"Mid-year population estimate",2009,"Age 65+",144501,108866,253367
"Mid-year population estimate",2009,"All",914771,878562,1793333
"Mid-year population estimate",2010,"Age 0-15",184943,195016,379959
"Mid-year population estimate",2010,"Age 16-39",300312,296444,596756
"Mid-year population estimate",2010,"Age 40-64",287728,280755,568483
"Mid-year population estimate",2010,"Age 65+",147315,112320,259635
"Mid-year population estimate",2010,"All",920298,884535,1804833
"Mid-year population estimate",2011,"Age 0-15",185475,195331,380806
"Mid-year population estimate",2011,"Age 16-39",298223,294222,592445
"Mid-year population estimate",2011,"Age 40-64",291249,284056,575305
"Mid-year population estimate",2011,"Age 65+",150049,115713,265762
"Mid-year population estimate",2011,"All",924996,889322,1814318
"Mid-year population estimate",2012,"Age 0-15",186158,195808,381966
"Mid-year population estimate",2012,"Age 16-39",296414,292493,588907
"Mid-year population estimate",2012,"Age 40-64",293762,286999,580761
"Mid-year population estimate",2012,"Age 65+",153402,119567,272969
"Mid-year population estimate",2012,"All",929736,894867,1824603
"Mid-year population estimate",2013,"Age 0-15",186392,195560,381952
"Mid-year population estimate",2013,"Age 16-39",294851,289773,584624
"Mid-year population estimate",2013,"Age 40-64",296395,289261,585656
"Mid-year population estimate",2013,"Age 65+",156243,123202,279445
"Mid-year population estimate",2013,"All",933881,897796,1831677
"Mid-year population estimate",2014,"Age 0-15",186780,195880,382660
"Mid-year population estimate",2014,"Age 16-39",294487,289378,583865
"Mid-year population estimate",2014,"Age 40-64",298995,291272,590267
"Mid-year population estimate",2014,"Age 65+",159337,127057,286394
"Mid-year population estimate",2014,"All",939599,903587,1843186
"Mid-year population estimate",2015,"Age 0-15",187408,196362,383770
"Mid-year population estimate",2015,"Age 16-39",294562,290047,584609
"Mid-year population estimate",2015,"Age 40-64",300850,293217,594067
"Mid-year population estimate",2015,"Age 65+",161953,130544,292497
"Mid-year population estimate",2015,"All",944773,910170,1854943
"Mid-year population estimate",2016,"Age 0-15",188581,197658,386239
"Mid-year population estimate",2016,"Age 16-39",293609,289916,583525
"Mid-year population estimate",2016,"Age 40-64",302865,294620,597485
"Mid-year population estimate",2016,"Age 65+",164613,134180,298793
"Mid-year population estimate",2016,"All",949668,916374,1866042
"Mid-year population estimate",2017,"Age 0-15",189448,198706,388154
"Mid-year population estimate",2017,"Age 16-39",292570,289017,581587
"Mid-year population estimate",2017,"Age 40-64",304871,296286,601157
"Mid-year population estimate",2017,"Age 65+",166826,137454,304280
"Mid-year population estimate",2017,"All",953715,921463,1875178
"Mid-year population estimate",2018,"Age 0-15",190347,199964,390311
"Mid-year population estimate",2018,"Age 16-39",292335,288957,581292
"Mid-year population estimate",2018,"Age 40-64",306901,297766,604667
"Mid-year population estimate",2018,"Age 65+",169278,140711,309989
"Mid-year population estimate",2018,"All",958861,927398,1886259
"Mid-year population estimate",2019,"Age 0-15",191008,200648,391656
"Mid-year population estimate",2019,"Age 16-39",291429,288746,580175
"Mid-year population estimate",2019,"Age 40-64",310007,299735,609742
"Mid-year population estimate",2019,"Age 65+",172225,144721,316946
"Mid-year population estimate",2019,"All",964669,933850,1898519
"Mid-year population estimate",2020,"Age 0-15",190260,199852,390112
"Mid-year population estimate",2020,"Age 16-39",287652,285195,572847
"Mid-year population estimate",2020,"Age 40-64",312931,301949,614880
"Mid-year population estimate",2020,"Age 65+",174566,148118,322684
"Mid-year population estimate",2020,"All",965409,935114,1900523
"Mid-year population estimate",2021,"Age 0-15",189296,198880,388176
"Mid-year population estimate",2021,"Age 16-39",285790,283817,569607
"Mid-year population estimate",2021,"Age 40-64",315116,302439,617555
"Mid-year population estimate",2021,"Age 65+",177548,151678,329226
"Mid-year population estimate",2021,"All",967750,936814,1904564
"Mid-year population estimate",2022,"Age 0-15",189990,199445,389435
"Mid-year population estimate",2022,"Age 16-39",283156,282701,565857
"Mid-year population estimate",2022,"Age 40-64",316937,302865,619802
"Mid-year population estimate",2022,"Age 65+",180513,154936,335449
"Mid-year population estimate",2022,"All",970596,939947,1910543
"Mid-year population estimate",2023,"Age 0-15",189448,198771,388219
"Mid-year population estimate",2023,"Age 16-39",283236,284568,567804
"Mid-year population estimate",2023,"Age 40-64",318234,303643,621877
"Mid-year population estimate",2023,"Age 65+",183979,158503,342482
"Mid-year population estimate",2023,"All",974897,945485,1920382
"Mid-year population estimate",2024,"Age 0-15",187734,196948,384682
"Mid-year population estimate",2024,"Age 16-39",283850,287329,571179
"Mid-year population estimate",2024,"Age 40-64",318999,303801,622800
"Mid-year population estimate",2024,"Age 65+",187482,161712,349194
"Mid-year population estimate",2024,"All",978065,949790,1927855
