"STATISTIC Label","Year","Single year of age","Females","Males","All persons"
"Mid-year population estimate",1980,"48",7779,7333,15112
"Mid-year population estimate",1980,"49",7965,7577,15542
"Mid-year population estimate",1980,"50",7937,7443,15380
"Mid-year population estimate",1980,"51",7778,7379,15157
"Mid-year population estimate",1980,"52",7707,7221,14928
"Mid-year population estimate",1980,"53",7885,7480,15365
"Mid-year population estimate",1980,"54",7868,7140,15008
"Mid-year population estimate",1980,"55",7664,7039,14703
"Mid-year population estimate",1980,"56",7826,7022,14848
"Mid-year population estimate",1980,"57",7790,7011,14801
"Mid-year population estimate",1980,"58",7983,7147,15130
"Mid-year population estimate",1980,"59",8137,7269,15406
"Mid-year population estimate",1980,"60",7983,7166,15149
"Mid-year population estimate",1980,"61",7264,6363,13627
"Mid-year population estimate",1980,"62",6609,5613,12222
"Mid-year population estimate",1980,"63",6629,5673,12302
"Mid-year population estimate",1980,"64",6862,5670,12532
"Mid-year population estimate",1980,"65",7298,5859,13157
"Mid-year population estimate",1980,"66",7140,5693,12833
"Mid-year population estimate",1980,"67",7164,5578,12742
"Mid-year population estimate",1980,"68",6905,5339,12244
"Mid-year population estimate",1980,"69",7014,5272,12286
"Mid-year population estimate",1980,"70",6614,4879,11493
"Mid-year population estimate",1980,"71",6291,4564,10855
"Mid-year population estimate",1980,"72",5946,4211,10157
"Mid-year population estimate",1980,"73",5778,3865,9643
"Mid-year population estimate",1980,"74",5498,3414,8912
"Mid-year population estimate",1980,"75",5118,3099,8217
"Mid-year population estimate",1980,"76",4709,2794,7503
"Mid-year population estimate",1980,"77",4298,2427,6725
"Mid-year population estimate",1980,"78",4013,2134,6147
"Mid-year population estimate",1980,"79",3838,2063,5901
"Mid-year population estimate",1980,"80",3382,1766,5148
"Mid-year population estimate",1980,"81",2905,1509,4414
"Mid-year population estimate",1980,"82",2466,1270,3736
"Mid-year population estimate",1980,"83",2310,1069,3379
"Mid-year population estimate",1980,"84",2085,946,3031
"Mid-year population estimate",1980,"85",1747,793,2540
"Mid-year population estimate",1980,"86",1469,583,2052
"Mid-year population estimate",1980,"87",1209,467,1676
"Mid-year population estimate",1980,"88",983,370,1353
"Mid-year population estimate",1980,"89",686,325,1011
"Mid-year population estimate",1980,"90",2490,743,3233
"Mid-year population estimate",1980,"All",778011,754762,1532773
"Mid-year population estimate",1981,"0",13388,13861,27249
"Mid-year population estimate",1981,"1",13566,14304,27870
"Mid-year population estimate",1981,"2",13168,13659,26827
"Mid-year population estimate",1981,"3",12609,13137,25746
"Mid-year population estimate",1981,"4",12235,12864,25099
"Mid-year population estimate",1981,"5",12249,12854,25103
"Mid-year population estimate",1981,"6",12456,13168,25624
"Mid-year population estimate",1981,"7",12967,13778,26745
"Mid-year population estimate",1981,"8",13326,14277,27603
"Mid-year population estimate",1981,"9",13635,14720,28355
"Mid-year population estimate",1981,"10",14146,14808,28954
"Mid-year population estimate",1981,"11",14214,14991,29205
"Mid-year population estimate",1981,"12",14444,15200,29644
"Mid-year population estimate",1981,"13",14677,15546,30223
"Mid-year population estimate",1981,"14",14727,15586,30313
"Mid-year population estimate",1981,"15",14226,15272,29498
"Mid-year population estimate",1981,"16",14520,15447,29967
"Mid-year population estimate",1981,"17",14318,15313,29631
"Mid-year population estimate",1981,"18",13688,15025,28713
"Mid-year population estimate",1981,"19",13376,14435,27811
"Mid-year population estimate",1981,"20",13184,14288,27472
"Mid-year population estimate",1981,"21",12608,13609,26217
"Mid-year population estimate",1981,"22",11919,12813,24732
"Mid-year population estimate",1981,"23",11540,12358,23898
"Mid-year population estimate",1981,"24",10988,11837,22825
"Mid-year population estimate",1981,"25",10526,11017,21543
"Mid-year population estimate",1981,"26",9945,10540,20485
"Mid-year population estimate",1981,"27",9752,10333,20085
"Mid-year population estimate",1981,"28",9705,10214,19919
"Mid-year population estimate",1981,"29",9452,9914,19366
"Mid-year population estimate",1981,"30",9463,9986,19449
"Mid-year population estimate",1981,"31",9641,9960,19601
"Mid-year population estimate",1981,"32",9745,9874,19619
"Mid-year population estimate",1981,"33",9914,9894,19808
"Mid-year population estimate",1981,"34",10043,10133,20176
"Mid-year population estimate",1981,"35",9491,9580,19071
"Mid-year population estimate",1981,"36",9481,9348,18829
"Mid-year population estimate",1981,"37",9584,9550,19134
"Mid-year population estimate",1981,"38",9610,9528,19138
"Mid-year population estimate",1981,"39",8665,8725,17390
"Mid-year population estimate",1981,"40",8194,8126,16320
"Mid-year population estimate",1981,"41",8270,8059,16329
"Mid-year population estimate",1981,"42",8361,8057,16418
"Mid-year population estimate",1981,"43",8066,7881,15947
"Mid-year population estimate",1981,"44",8201,7938,16139
"Mid-year population estimate",1981,"45",8083,7770,15853
"Mid-year population estimate",1981,"46",7779,7464,15243
"Mid-year population estimate",1981,"47",7651,7375,15026
"Mid-year population estimate",1981,"48",7863,7338,15201
"Mid-year population estimate",1981,"49",7739,7324,15063
"Mid-year population estimate",1981,"50",8035,7392,15427
"Mid-year population estimate",1981,"51",8001,7268,15269
"Mid-year population estimate",1981,"52",7841,7199,15040
"Mid-year population estimate",1981,"53",7763,7034,14797
"Mid-year population estimate",1981,"54",7936,7266,15202
"Mid-year population estimate",1981,"55",7957,7143,15100
"Mid-year population estimate",1981,"56",7722,7040,14762
"Mid-year population estimate",1981,"57",7872,7034,14906
"Mid-year population estimate",1981,"58",7845,6979,14824
"Mid-year population estimate",1981,"59",8034,7138,15172
"Mid-year population estimate",1981,"60",8174,7190,15364
"Mid-year population estimate",1981,"61",8079,7058,15137
"Mid-year population estimate",1981,"62",7297,6261,13558
"Mid-year population estimate",1981,"63",6629,5494,12123
"Mid-year population estimate",1981,"64",6629,5520,12149
"Mid-year population estimate",1981,"65",6796,5648,12444
"Mid-year population estimate",1981,"66",7257,5830,13087
"Mid-year population estimate",1981,"67",7074,5623,12697
"Mid-year population estimate",1981,"68",7066,5510,12576
"Mid-year population estimate",1981,"69",6820,5286,12106
"Mid-year population estimate",1981,"70",6910,5130,12040
"Mid-year population estimate",1981,"71",6493,4728,11221
"Mid-year population estimate",1981,"72",6172,4454,10626
"Mid-year population estimate",1981,"73",5799,4078,9877
"Mid-year population estimate",1981,"74",5610,3754,9364
"Mid-year population estimate",1981,"75",5156,3322,8478
"Mid-year population estimate",1981,"76",4834,3002,7836
"Mid-year population estimate",1981,"77",4435,2701,7136
"Mid-year population estimate",1981,"78",4077,2348,6425
"Mid-year population estimate",1981,"79",3796,2038,5834
"Mid-year population estimate",1981,"80",3774,1966,5740
"Mid-year population estimate",1981,"81",3338,1664,5002
"Mid-year population estimate",1981,"82",2826,1393,4219
"Mid-year population estimate",1981,"83",2398,1186,3584
"Mid-year population estimate",1981,"84",2242,983,3225
"Mid-year population estimate",1981,"85",2065,886,2951
"Mid-year population estimate",1981,"86",1736,712,2448
"Mid-year population estimate",1981,"87",1446,545,1991
"Mid-year population estimate",1981,"88",1158,430,1588
"Mid-year population estimate",1981,"89",915,348,1263
"Mid-year population estimate",1981,"90",2934,966,3900
"Mid-year population estimate",1981,"All",786339,756625,1542964
"Mid-year population estimate",1982,"0",13126,13627,26753
"Mid-year population estimate",1982,"1",13344,13802,27146
"Mid-year population estimate",1982,"2",13470,14232,27702
"Mid-year population estimate",1982,"3",13073,13532,26605
"Mid-year population estimate",1982,"4",12535,13020,25555
"Mid-year population estimate",1982,"5",12170,12803,24973
"Mid-year population estimate",1982,"6",12126,12788,24914
"Mid-year population estimate",1982,"7",12398,13099,25497
"Mid-year population estimate",1982,"8",12873,13688,26561
"Mid-year population estimate",1982,"9",13241,14197,27438
"Mid-year population estimate",1982,"10",13493,14520,28013
"Mid-year population estimate",1982,"11",14051,14638,28689
"Mid-year population estimate",1982,"12",14131,14825,28956
"Mid-year population estimate",1982,"13",14421,15061,29482
"Mid-year population estimate",1982,"14",14620,15364,29984
"Mid-year population estimate",1982,"15",14649,15378,30027
"Mid-year population estimate",1982,"16",14253,15140,29393
"Mid-year population estimate",1982,"17",14519,15430,29949
"Mid-year population estimate",1982,"18",14318,15505,29823
"Mid-year population estimate",1982,"19",13588,15042,28630
"Mid-year population estimate",1982,"20",12891,13758,26649
"Mid-year population estimate",1982,"21",12553,13620,26173
"Mid-year population estimate",1982,"22",12285,13283,25568
"Mid-year population estimate",1982,"23",11682,12566,24248
"Mid-year population estimate",1982,"24",11362,12163,23525
"Mid-year population estimate",1982,"25",10763,11057,21820
"Mid-year population estimate",1982,"26",10429,10880,21309
"Mid-year population estimate",1982,"27",9822,10416,20238
"Mid-year population estimate",1982,"28",9637,10125,19762
"Mid-year population estimate",1982,"29",9621,10054,19675
"Mid-year population estimate",1982,"30",9405,9790,19195
"Mid-year population estimate",1982,"31",9464,9895,19359
"Mid-year population estimate",1982,"32",9633,9890,19523
"Mid-year population estimate",1982,"33",9674,9819,19493
"Mid-year population estimate",1982,"34",9887,9780,19667
"Mid-year population estimate",1982,"35",10007,10074,20081
"Mid-year population estimate",1982,"36",9460,9557,19017
"Mid-year population estimate",1982,"37",9460,9291,18751
"Mid-year population estimate",1982,"38",9529,9457,18986
"Mid-year population estimate",1982,"39",9566,9466,19032
"Mid-year population estimate",1982,"40",8652,8649,17301
"Mid-year population estimate",1982,"41",8177,8065,16242
"Mid-year population estimate",1982,"42",8213,7974,16187
"Mid-year population estimate",1982,"43",8325,8000,16325
"Mid-year population estimate",1982,"44",8016,7823,15839
"Mid-year population estimate",1982,"45",8151,7891,16042
"Mid-year population estimate",1982,"46",8043,7727,15770
"Mid-year population estimate",1982,"47",7731,7406,15137
"Mid-year population estimate",1982,"48",7619,7324,14943
"Mid-year population estimate",1982,"49",7824,7311,15135
"Mid-year population estimate",1982,"50",7706,7248,14954
"Mid-year population estimate",1982,"51",8010,7335,15345
"Mid-year population estimate",1982,"52",7990,7228,15218
"Mid-year population estimate",1982,"53",7818,7130,14948
"Mid-year population estimate",1982,"54",7714,6932,14646
"Mid-year population estimate",1982,"55",7912,7191,15103
"Mid-year population estimate",1982,"56",7930,7078,15008
"Mid-year population estimate",1982,"57",7669,6974,14643
"Mid-year population estimate",1982,"58",7810,6944,14754
"Mid-year population estimate",1982,"59",7788,6889,14677
"Mid-year population estimate",1982,"60",7963,7030,14993
"Mid-year population estimate",1982,"61",8081,7065,15146
"Mid-year population estimate",1982,"62",7983,6923,14906
"Mid-year population estimate",1982,"63",7182,6103,13285
"Mid-year population estimate",1982,"64",6524,5349,11873
"Mid-year population estimate",1982,"65",6516,5380,11896
"Mid-year population estimate",1982,"66",6662,5466,12128
"Mid-year population estimate",1982,"67",7102,5624,12726
"Mid-year population estimate",1982,"68",6932,5419,12351
"Mid-year population estimate",1982,"69",6920,5270,12190
"Mid-year population estimate",1982,"70",6677,5072,11749
"Mid-year population estimate",1982,"71",6709,4876,11585
"Mid-year population estimate",1982,"72",6287,4468,10755
"Mid-year population estimate",1982,"73",5954,4168,10122
"Mid-year population estimate",1982,"74",5561,3789,9350
"Mid-year population estimate",1982,"75",5374,3481,8855
"Mid-year population estimate",1982,"76",4932,3050,7982
"Mid-year population estimate",1982,"77",4561,2754,7315
"Mid-year population estimate",1982,"78",4177,2432,6609
"Mid-year population estimate",1982,"79",3802,2124,5926
"Mid-year population estimate",1982,"80",3510,1777,5287
"Mid-year population estimate",1982,"81",3490,1758,5248
"Mid-year population estimate",1982,"82",3040,1430,4470
"Mid-year population estimate",1982,"83",2572,1218,3790
"Mid-year population estimate",1982,"84",2172,1024,3196
"Mid-year population estimate",1982,"85",2100,882,2982
"Mid-year population estimate",1982,"86",1771,722,2493
"Mid-year population estimate",1982,"87",1467,571,2038
"Mid-year population estimate",1982,"88",1206,431,1637
"Mid-year population estimate",1982,"89",953,342,1295
"Mid-year population estimate",1982,"90",3001,988,3989
"Mid-year population estimate",1982,"All",787808,756737,1544545
"Mid-year population estimate",1983,"0",12987,13803,26790
"Mid-year population estimate",1983,"1",13065,13543,26608
"Mid-year population estimate",1983,"2",13298,13806,27104
"Mid-year population estimate",1983,"3",13432,14172,27604
"Mid-year population estimate",1983,"4",13032,13448,26480
"Mid-year population estimate",1983,"5",12508,12990,25498
"Mid-year population estimate",1983,"6",12074,12757,24831
"Mid-year population estimate",1983,"7",12108,12771,24879
"Mid-year population estimate",1983,"8",12364,13060,25424
"Mid-year population estimate",1983,"9",12801,13651,26452
"Mid-year population estimate",1983,"10",13212,14154,27366
"Mid-year population estimate",1983,"11",13395,14325,27720
"Mid-year population estimate",1983,"12",13946,14498,28444
"Mid-year population estimate",1983,"13",14085,14686,28771
"Mid-year population estimate",1983,"14",14413,14927,29340
"Mid-year population estimate",1983,"15",14557,15185,29742
"Mid-year population estimate",1983,"16",14618,15188,29806
"Mid-year population estimate",1983,"17",14263,15115,29378
"Mid-year population estimate",1983,"18",14528,15606,30134
"Mid-year population estimate",1983,"19",14193,15456,29649
"Mid-year population estimate",1983,"20",13127,14381,27508
"Mid-year population estimate",1983,"21",12375,13184,25559
"Mid-year population estimate",1983,"22",12327,13338,25665
"Mid-year population estimate",1983,"23",12159,13138,25297
"Mid-year population estimate",1983,"24",11623,12447,24070
"Mid-year population estimate",1983,"25",11237,11474,22711
"Mid-year population estimate",1983,"26",10793,11037,21830
"Mid-year population estimate",1983,"27",10404,10849,21253
"Mid-year population estimate",1983,"28",9779,10276,20055
"Mid-year population estimate",1983,"29",9622,10035,19657
"Mid-year population estimate",1983,"30",9667,10013,19680
"Mid-year population estimate",1983,"31",9450,9750,19200
"Mid-year population estimate",1983,"32",9523,9889,19412
"Mid-year population estimate",1983,"33",9614,9862,19476
"Mid-year population estimate",1983,"34",9679,9729,19408
"Mid-year population estimate",1983,"35",9871,9764,19635
"Mid-year population estimate",1983,"36",10044,10092,20136
"Mid-year population estimate",1983,"37",9444,9501,18945
"Mid-year population estimate",1983,"38",9448,9238,18686
"Mid-year population estimate",1983,"39",9522,9434,18956
"Mid-year population estimate",1983,"40",9564,9412,18976
"Mid-year population estimate",1983,"41",8673,8602,17275
"Mid-year population estimate",1983,"42",8159,8014,16173
"Mid-year population estimate",1983,"43",8181,7914,16095
"Mid-year population estimate",1983,"44",8288,7949,16237
"Mid-year population estimate",1983,"45",7996,7790,15786
"Mid-year population estimate",1983,"46",8121,7853,15974
"Mid-year population estimate",1983,"47",8018,7683,15701
"Mid-year population estimate",1983,"48",7685,7376,15061
"Mid-year population estimate",1983,"49",7588,7303,14891
"Mid-year population estimate",1983,"50",7788,7246,15034
"Mid-year population estimate",1983,"51",7696,7191,14887
"Mid-year population estimate",1983,"52",7979,7290,15269
"Mid-year population estimate",1983,"53",7993,7188,15181
"Mid-year population estimate",1983,"54",7775,7052,14827
"Mid-year population estimate",1983,"55",7712,6866,14578
"Mid-year population estimate",1983,"56",7872,7136,15008
"Mid-year population estimate",1983,"57",7896,7019,14915
"Mid-year population estimate",1983,"58",7616,6880,14496
"Mid-year population estimate",1983,"59",7764,6876,14640
"Mid-year population estimate",1983,"60",7752,6770,14522
"Mid-year population estimate",1983,"61",7896,6909,14805
"Mid-year population estimate",1983,"62",8019,6937,14956
"Mid-year population estimate",1983,"63",7895,6736,14631
"Mid-year population estimate",1983,"64",7084,5951,13035
"Mid-year population estimate",1983,"65",6427,5215,11642
"Mid-year population estimate",1983,"66",6396,5248,11644
"Mid-year population estimate",1983,"67",6545,5266,11811
"Mid-year population estimate",1983,"68",6956,5436,12392
"Mid-year population estimate",1983,"69",6786,5227,12013
"Mid-year population estimate",1983,"70",6790,5067,11857
"Mid-year population estimate",1983,"71",6502,4843,11345
"Mid-year population estimate",1983,"72",6497,4607,11104
"Mid-year population estimate",1983,"73",6063,4195,10258
"Mid-year population estimate",1983,"74",5713,3912,9625
"Mid-year population estimate",1983,"75",5340,3543,8883
"Mid-year population estimate",1983,"76",5133,3187,8320
"Mid-year population estimate",1983,"77",4709,2804,7513
"Mid-year population estimate",1983,"78",4321,2518,6839
"Mid-year population estimate",1983,"79",3926,2140,6066
"Mid-year population estimate",1983,"80",3542,1893,5435
"Mid-year population estimate",1983,"81",3225,1567,4792
"Mid-year population estimate",1983,"82",3231,1541,4772
"Mid-year population estimate",1983,"83",2752,1220,3972
"Mid-year population estimate",1983,"84",2349,1028,3377
"Mid-year population estimate",1983,"85",2072,915,2987
"Mid-year population estimate",1983,"86",1805,725,2530
"Mid-year population estimate",1983,"87",1497,589,2086
"Mid-year population estimate",1983,"88",1222,460,1682
"Mid-year population estimate",1983,"89",996,341,1337
"Mid-year population estimate",1983,"90",3155,1011,4166
"Mid-year population estimate",1983,"All",791547,759013,1550560
"Mid-year population estimate",1984,"0",13057,13775,26832
"Mid-year population estimate",1984,"1",12944,13718,26662
"Mid-year population estimate",1984,"2",13008,13523,26531
"Mid-year population estimate",1984,"3",13289,13781,27070
"Mid-year population estimate",1984,"4",13410,14116,27526
"Mid-year population estimate",1984,"5",13003,13418,26421
"Mid-year population estimate",1984,"6",12416,12935,25351
"Mid-year population estimate",1984,"7",12063,12732,24795
"Mid-year population estimate",1984,"8",12092,12761,24853
"Mid-year population estimate",1984,"9",12336,13054,25390
"Mid-year population estimate",1984,"10",12768,13625,26393
"Mid-year population estimate",1984,"11",13208,14089,27297
"Mid-year population estimate",1984,"12",13269,14143,27412
"Mid-year population estimate",1984,"13",13868,14369,28237
"Mid-year population estimate",1984,"14",14036,14541,28577
"Mid-year population estimate",1984,"15",14387,14796,29183
"Mid-year population estimate",1984,"16",14530,15031,29561
"Mid-year population estimate",1984,"17",14553,15104,29657
"Mid-year population estimate",1984,"18",14271,15246,29517
"Mid-year population estimate",1984,"19",14412,15499,29911
"Mid-year population estimate",1984,"20",13699,14698,28397
"Mid-year population estimate",1984,"21",12615,13753,26368
"Mid-year population estimate",1984,"22",12236,12930,25166
"Mid-year population estimate",1984,"23",12263,13150,25413
"Mid-year population estimate",1984,"24",12133,12990,25123
"Mid-year population estimate",1984,"25",11518,11738,23256
"Mid-year population estimate",1984,"26",11291,11427,22718
"Mid-year population estimate",1984,"27",10805,11006,21811
"Mid-year population estimate",1984,"28",10397,10710,21107
"Mid-year population estimate",1984,"29",9774,10175,19949
"Mid-year population estimate",1984,"30",9694,10009,19703
"Mid-year population estimate",1984,"31",9760,10003,19763
"Mid-year population estimate",1984,"32",9502,9725,19227
"Mid-year population estimate",1984,"33",9536,9866,19402
"Mid-year population estimate",1984,"34",9646,9774,19420
"Mid-year population estimate",1984,"35",9656,9711,19367
"Mid-year population estimate",1984,"36",9902,9788,19690
"Mid-year population estimate",1984,"37",10074,10058,20132
"Mid-year population estimate",1984,"38",9420,9431,18851
"Mid-year population estimate",1984,"39",9460,9211,18671
"Mid-year population estimate",1984,"40",9526,9390,18916
"Mid-year population estimate",1984,"41",9575,9365,18940
"Mid-year population estimate",1984,"42",8665,8553,17218
"Mid-year population estimate",1984,"43",8141,7978,16119
"Mid-year population estimate",1984,"44",8133,7851,15984
"Mid-year population estimate",1984,"45",8256,7919,16175
"Mid-year population estimate",1984,"46",7979,7759,15738
"Mid-year population estimate",1984,"47",8112,7802,15914
"Mid-year population estimate",1984,"48",7986,7662,15648
"Mid-year population estimate",1984,"49",7649,7354,15003
"Mid-year population estimate",1984,"50",7552,7231,14783
"Mid-year population estimate",1984,"51",7768,7209,14977
"Mid-year population estimate",1984,"52",7681,7152,14833
"Mid-year population estimate",1984,"53",7967,7229,15196
"Mid-year population estimate",1984,"54",7976,7121,15097
"Mid-year population estimate",1984,"55",7778,6993,14771
"Mid-year population estimate",1984,"56",7703,6817,14520
"Mid-year population estimate",1984,"57",7827,7071,14898
"Mid-year population estimate",1984,"58",7867,6949,14816
"Mid-year population estimate",1984,"59",7567,6811,14378
"Mid-year population estimate",1984,"60",7720,6792,14512
"Mid-year population estimate",1984,"61",7710,6658,14368
"Mid-year population estimate",1984,"62",7839,6817,14656
"Mid-year population estimate",1984,"63",7937,6797,14734
"Mid-year population estimate",1984,"64",7813,6587,14400
"Mid-year population estimate",1984,"65",6958,5799,12757
"Mid-year population estimate",1984,"66",6317,5070,11387
"Mid-year population estimate",1984,"67",6290,5068,11358
"Mid-year population estimate",1984,"68",6426,5067,11493
"Mid-year population estimate",1984,"69",6818,5232,12050
"Mid-year population estimate",1984,"70",6645,5035,11680
"Mid-year population estimate",1984,"71",6651,4810,11461
"Mid-year population estimate",1984,"72",6316,4577,10893
"Mid-year population estimate",1984,"73",6275,4356,10631
"Mid-year population estimate",1984,"74",5850,3954,9804
"Mid-year population estimate",1984,"75",5501,3671,9172
"Mid-year population estimate",1984,"76",5113,3265,8378
"Mid-year population estimate",1984,"77",4861,2935,7796
"Mid-year population estimate",1984,"78",4464,2543,7007
"Mid-year population estimate",1984,"79",4049,2291,6340
"Mid-year population estimate",1984,"80",3650,1902,5552
"Mid-year population estimate",1984,"81",3279,1654,4933
"Mid-year population estimate",1984,"82",2963,1375,4338
"Mid-year population estimate",1984,"83",2979,1331,4310
"Mid-year population estimate",1984,"84",2486,1015,3501
"Mid-year population estimate",1984,"85",2145,925,3070
"Mid-year population estimate",1984,"86",1818,742,2560
"Mid-year population estimate",1984,"87",1557,587,2144
"Mid-year population estimate",1984,"88",1272,469,1741
"Mid-year population estimate",1984,"89",1024,358,1382
"Mid-year population estimate",1984,"90",3274,1001,4275
"Mid-year population estimate",1984,"All",796009,761308,1557317
"Mid-year population estimate",1985,"0",13210,14163,27373
"Mid-year population estimate",1985,"1",13030,13723,26753
"Mid-year population estimate",1985,"2",12886,13682,26568
"Mid-year population estimate",1985,"3",12966,13455,26421
"Mid-year population estimate",1985,"4",13279,13740,27019
"Mid-year population estimate",1985,"5",13382,14092,27474
"Mid-year population estimate",1985,"6",12898,13349,26247
"Mid-year population estimate",1985,"7",12395,12892,25287
"Mid-year population estimate",1985,"8",12041,12702,24743
"Mid-year population estimate",1985,"9",12072,12773,24845
"Mid-year population estimate",1985,"10",12334,13050,25384
"Mid-year population estimate",1985,"11",12747,13566,26313
"Mid-year population estimate",1985,"12",13167,14030,27197
"Mid-year population estimate",1985,"13",13162,13957,27119
"Mid-year population estimate",1985,"14",13774,14225,27999
"Mid-year population estimate",1985,"15",13963,14393,28356
"Mid-year population estimate",1985,"16",14393,14678,29071
"Mid-year population estimate",1985,"17",14474,14961,29435
"Mid-year population estimate",1985,"18",14490,15192,29682
"Mid-year population estimate",1985,"19",14146,15184,29330
"Mid-year population estimate",1985,"20",13906,14801,28707
"Mid-year population estimate",1985,"21",13125,14051,27176
"Mid-year population estimate",1985,"22",12442,13541,25983
"Mid-year population estimate",1985,"23",12210,12856,25066
"Mid-year population estimate",1985,"24",12246,13065,25311
"Mid-year population estimate",1985,"25",12005,12366,24371
"Mid-year population estimate",1985,"26",11543,11669,23212
"Mid-year population estimate",1985,"27",11282,11405,22687
"Mid-year population estimate",1985,"28",10798,10921,21719
"Mid-year population estimate",1985,"29",10398,10646,21044
"Mid-year population estimate",1985,"30",9830,10163,19993
"Mid-year population estimate",1985,"31",9777,10037,19814
"Mid-year population estimate",1985,"32",9831,10032,19863
"Mid-year population estimate",1985,"33",9482,9712,19194
"Mid-year population estimate",1985,"34",9583,9815,19398
"Mid-year population estimate",1985,"35",9634,9758,19392
"Mid-year population estimate",1985,"36",9675,9748,19423
"Mid-year population estimate",1985,"37",9923,9787,19710
"Mid-year population estimate",1985,"38",10086,10015,20101
"Mid-year population estimate",1985,"39",9409,9408,18817
"Mid-year population estimate",1985,"40",9485,9188,18673
"Mid-year population estimate",1985,"41",9542,9357,18899
"Mid-year population estimate",1985,"42",9551,9318,18869
"Mid-year population estimate",1985,"43",8654,8518,17172
"Mid-year population estimate",1985,"44",8108,7947,16055
"Mid-year population estimate",1985,"45",8095,7810,15905
"Mid-year population estimate",1985,"46",8232,7897,16129
"Mid-year population estimate",1985,"47",7965,7706,15671
"Mid-year population estimate",1985,"48",8086,7772,15858
"Mid-year population estimate",1985,"49",7959,7641,15600
"Mid-year population estimate",1985,"50",7601,7273,14874
"Mid-year population estimate",1985,"51",7531,7176,14707
"Mid-year population estimate",1985,"52",7742,7180,14922
"Mid-year population estimate",1985,"53",7677,7106,14783
"Mid-year population estimate",1985,"54",7927,7140,15067
"Mid-year population estimate",1985,"55",7983,7050,15033
"Mid-year population estimate",1985,"56",7756,6939,14695
"Mid-year population estimate",1985,"57",7665,6747,14412
"Mid-year population estimate",1985,"58",7794,6973,14767
"Mid-year population estimate",1985,"59",7819,6886,14705
"Mid-year population estimate",1985,"60",7509,6738,14247
"Mid-year population estimate",1985,"61",7679,6707,14386
"Mid-year population estimate",1985,"62",7683,6574,14257
"Mid-year population estimate",1985,"63",7780,6661,14441
"Mid-year population estimate",1985,"64",7874,6656,14530
"Mid-year population estimate",1985,"65",7711,6440,14151
"Mid-year population estimate",1985,"66",6834,5645,12479
"Mid-year population estimate",1985,"67",6200,4931,11131
"Mid-year population estimate",1985,"68",6160,4918,11078
"Mid-year population estimate",1985,"69",6298,4842,11140
"Mid-year population estimate",1985,"70",6673,5032,11705
"Mid-year population estimate",1985,"71",6473,4805,11278
"Mid-year population estimate",1985,"72",6467,4580,11047
"Mid-year population estimate",1985,"73",6112,4317,10429
"Mid-year population estimate",1985,"74",6029,4072,10101
"Mid-year population estimate",1985,"75",5602,3694,9296
"Mid-year population estimate",1985,"76",5245,3383,8628
"Mid-year population estimate",1985,"77",4868,3001,7869
"Mid-year population estimate",1985,"78",4601,2690,7291
"Mid-year population estimate",1985,"79",4291,2306,6597
"Mid-year population estimate",1985,"80",3807,2046,5853
"Mid-year population estimate",1985,"81",3379,1697,5076
"Mid-year population estimate",1985,"82",2994,1473,4467
"Mid-year population estimate",1985,"83",2713,1196,3909
"Mid-year population estimate",1985,"84",2753,1143,3896
"Mid-year population estimate",1985,"85",2264,910,3174
"Mid-year population estimate",1985,"86",1890,752,2642
"Mid-year population estimate",1985,"87",1579,597,2176
"Mid-year population estimate",1985,"88",1331,465,1796
"Mid-year population estimate",1985,"89",1073,370,1443
"Mid-year population estimate",1985,"90",3409,1037,4446
"Mid-year population estimate",1985,"All",800447,764905,1565352
"Mid-year population estimate",1986,"0",13393,14208,27601
"Mid-year population estimate",1986,"1",13126,14046,27172
"Mid-year population estimate",1986,"2",13006,13734,26740
"Mid-year population estimate",1986,"3",12862,13615,26477
"Mid-year population estimate",1986,"4",12931,13381,26312
"Mid-year population estimate",1986,"5",13275,13750,27025
"Mid-year population estimate",1986,"6",13283,14043,27326
"Mid-year population estimate",1986,"7",12873,13298,26171
"Mid-year population estimate",1986,"8",12376,12851,25227
"Mid-year population estimate",1986,"9",12023,12705,24728
"Mid-year population estimate",1986,"10",12084,12792,24876
"Mid-year population estimate",1986,"11",12352,13020,25372
"Mid-year population estimate",1986,"12",12697,13520,26217
"Mid-year population estimate",1986,"13",13151,13976,27127
"Mid-year population estimate",1986,"14",13046,13765,26811
"Mid-year population estimate",1986,"15",13660,14079,27739
"Mid-year population estimate",1986,"16",13927,14262,28189
"Mid-year population estimate",1986,"17",14366,14643,29009
"Mid-year population estimate",1986,"18",14420,15055,29475
"Mid-year population estimate",1986,"19",14298,15055,29353
"Mid-year population estimate",1986,"20",13650,14472,28122
"Mid-year population estimate",1986,"21",13337,14136,27473
"Mid-year population estimate",1986,"22",12917,13755,26672
"Mid-year population estimate",1986,"23",12413,13440,25853
"Mid-year population estimate",1986,"24",12273,12821,25094
"Mid-year population estimate",1986,"25",12161,12441,24602
"Mid-year population estimate",1986,"26",12046,12314,24360
"Mid-year population estimate",1986,"27",11537,11593,23130
"Mid-year population estimate",1986,"28",11283,11302,22585
"Mid-year population estimate",1986,"29",10832,10877,21709
"Mid-year population estimate",1986,"30",10482,10652,21134
"Mid-year population estimate",1986,"31",9922,10179,20101
"Mid-year population estimate",1986,"32",9855,10073,19928
"Mid-year population estimate",1986,"33",9848,10045,19893
